"task_event_id","team_id"
"12812809-12b8-40df-bb26-9c93f46bc37c","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"c8dbc3f1-708b-4cf4-8d52-894a83bdf938","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"c8dbc3f1-708b-4cf4-8d52-894a83bdf938","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"fd7a73ec-b29c-47d2-bdb7-2dc147150131","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"8ba5971f-08f9-48e1-afe1-5e8afb184475","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"8ba5971f-08f9-48e1-afe1-5e8afb184475","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"10729893-b12f-48f4-995d-846a3dfef684","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"10729893-b12f-48f4-995d-846a3dfef684","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"307a93d6-133a-4b48-b9a5-2eb1d4b17027","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"307a93d6-133a-4b48-b9a5-2eb1d4b17027","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"d8ab70c1-82fa-4b1c-aecf-86b4b4bc2505","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"e34db215-324a-4cb5-bf77-a0b4be6536bb","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"31cbbe1b-bee4-4507-ba3f-e527660cd6f2","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"31cbbe1b-bee4-4507-ba3f-e527660cd6f2","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"640349b7-3a77-4340-a8f7-27b4c1d5f17f","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"640349b7-3a77-4340-a8f7-27b4c1d5f17f","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"1a4f1afe-d99d-4d56-8edf-55c5aa37054a","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"1a4f1afe-d99d-4d56-8edf-55c5aa37054a","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"6412a261-864b-4708-901b-ab2df1843821","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"6412a261-864b-4708-901b-ab2df1843821","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"6412a261-864b-4708-901b-ab2df1843821","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"1dd32bc5-b3ac-49c2-8e11-a61f617ea9c7","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"1dd32bc5-b3ac-49c2-8e11-a61f617ea9c7","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"6eaca20f-62de-472a-a85c-4d5201ee6059","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"6eaca20f-62de-472a-a85c-4d5201ee6059","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"6eaca20f-62de-472a-a85c-4d5201ee6059","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"5ba96af4-eb43-43ab-a7b5-a55150816422","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"6567fd3e-b790-40c5-8a09-e31b2d57ed65","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"5319c5ed-021f-4e9e-aafd-3157759cea3c","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"6a58b50e-3338-4163-8e66-17187aa7eafa","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"bddaa296-05e0-4322-a2f6-5eeca29cce20","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"bddaa296-05e0-4322-a2f6-5eeca29cce20","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"21bb06da-a5ac-4c74-8784-9eef510430b2","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"0d4ddadd-3354-4392-9d52-7d340a3ce1f4","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"50fd8452-cdb3-4311-8834-52b26258db13","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"31844564-dad6-4ec1-a247-ab9bca2338ec","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"cc60b12d-03e8-4780-813f-15633659cf17","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"2be42d18-bdf1-4ac2-8984-ff90c81b4f26","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"f17bcaca-168f-4b92-86b3-10bb225249ea","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"f17bcaca-168f-4b92-86b3-10bb225249ea","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"a521522a-b817-4c17-81bb-4ac4afd0dadd","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"58511de4-f754-40af-9a73-f16b582b59e2","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"efd284e2-1739-40a2-8b70-111621f804be","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"e4426d85-2198-4c22-8688-bc509e9be2b2","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"6d32bf8d-0df9-4b35-9c0e-a854e8815da4","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"7c8b46fa-092b-42aa-8dc6-de35e7e6ee67","34fbb5ed-358d-4583-bc14-1c2daaa82436"
"3d2606e3-4c8d-4e89-b40f-ac4a1335ba97","d9ed9dec-29db-4931-8f2e-875e62d9fc38"
"9822a3fe-e9ff-4c58-a823-cfbb432167a2","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"3cdcee93-0ab1-4f76-ad6e-79dbb67f35ec","27264d57-eab1-4c1a-9b48-4ba05db08af2"
"43a1c460-b3ef-413d-9e50-835046c67387","34fbb5ed-358d-4583-bc14-1c2daaa82436"
